call_identifier,call_timestamp,call_text,call_duration_seconds,escalation_required
49,2023-04-06 07:11:31,The app keeps crashing.,279,1
50,2023-06-10 08:46:29,I want to cancel my subscription.,244,1
51,2023-05-10 18:00:41,How do I apply a discount code?,178,0
52,2023-06-22 20:10:18,The product I received is defective.,293,1
53,2023-08-06 19:15:58,How do I change my shipping address?,341,1
54,2023-04-16 13:55:18,Can you help me with a refund?,173,1
55,2023-02-16 19:12:38,The product I received is defective.,492,1
56,2023-04-18 06:56:59,How do I change my shipping address?,137,0
57,2023-09-02 05:56:37,My device isn't charging properly.,308,1
58,2023-05-30 21:13:09,Can you explain my recent charges?,364,1
59,2023-09-28 13:18:53,I need technical support.,473,1
60,2023-12-10 01:25:05,The product I received is defective.,134,1
61,2023-07-02 21:50:27,How do I track my order?,454,0
62,2023-05-18 08:12:35,My internet is not working properly.,568,1
63,2023-07-05 08:27:31,I need technical support.,240,0
64,2023-03-29 00:29:37,I'm unable to login to my account.,227,0
65,2023-05-10 00:18:47,My device isn't charging properly.,160,1
66,2023-11-22 14:03:08,I need technical support.,505,0
67,2023-05-05 14:47:36,The app keeps crashing.,215,0
68,2023-03-16 05:25:47,The service has been down for hours.,273,1
69,2023-12-15 02:14:25,I have a billing issue.,210,0
70,2023-03-24 05:18:56,I need help with my account balance.,305,1
71,2023-02-18 01:49:52,I need technical support.,548,0
72,2023-06-09 21:07:07,My package hasn't arrived yet.,263,1
73,2023-02-02 00:38:25,How do I set up auto-pay?,49,0
74,2023-01-02 12:17:53,Can I reschedule my appointment?,362,0
75,2023-04-19 09:02:05,I need to report a lost card.,286,1
76,2023-03-30 00:10:31,How do I apply a discount code?,427,1
77,2023-04-03 03:29:32,I have a billing issue.,382,1
78,2023-07-05 21:45:11,The product I received is defective.,446,0
79,2023-10-16 22:53:39,I'm unable to login to my account.,157,1
80,2023-12-26 14:24:57,How do I change my shipping address?,387,0
81,2023-04-26 20:58:15,The service has been down for hours.,130,0
82,2023-01-15 15:31:03,How do I update my email address?,152,1
83,2023-02-21 06:12:53,What's the status of my repair?,146,0
84,2023-03-31 23:48:43,I'm unable to login to my account.,302,0
85,2023-06-14 03:29:53,How do I reset my password?,347,0
86,2023-10-15 20:50:12,How do I track my order?,585,0
87,2023-10-01 00:27:34,I need to update my payment information.,243,0
88,2023-09-18 22:09:23,I'm having trouble with my online order.,184,1
89,2023-02-01 03:41:28,I'm having trouble with my online order.,199,1
90,2023-12-06 18:27:13,Can I reschedule my appointment?,145,0
91,2023-09-14 14:18:29,I have a billing issue.,443,1
92,2023-04-05 06:10:59,My package hasn't arrived yet.,160,0
93,2023-07-08 12:09:30,I want to upgrade my plan.,519,0
94,2023-11-12 20:44:22,The service has been down for hours.,190,1
95,2023-04-30 01:38:39,How do I track my order?,516,1
96,2023-06-15 15:00:04,I need help with my insurance claim.,391,1
97,2023-07-02 21:49:20,The product I received is defective.,163,0
98,2023-01-04 02:15:34,I need technical support.,188,0
99,2023-11-27 22:44:14,How do I set up auto-pay?,257,0
100,2023-08-03 01:00:03,I need technical support.,265,0
101,2023-07-17 07:37:02,How do I track my order?,346,1
102,2023-06-04 15:18:25,Can I get a copy of my invoice?,537,0
103,2023-11-26 18:46:18,How do I set up auto-pay?,414,1
104,2023-03-18 17:35:05,I have a billing issue.,274,1
105,2023-08-19 14:48:04,The service has been down for hours.,539,0
106,2023-04-07 17:02:27,How do I connect to Wi-Fi?,486,1
107,2023-02-19 03:18:45,What's the status of my repair?,354,1
108,2023-05-25 23:44:16,The service has been down for hours.,459,0
109,2023-09-26 18:17:08,Can you help me with a refund?,346,1
110,2023-01-08 10:30:37,How do I change my shipping address?,575,1
111,2023-10-08 08:11:55,How do I change my shipping address?,330,1
112,2023-07-31 19:58:26,I need help with my account balance.,229,1
113,2023-05-29 08:56:04,The service has been down for hours.,119,1
114,2023-09-26 21:59:10,I want to cancel my subscription.,295,1
115,2023-08-06 12:21:10,How do I update my email address?,569,1
116,2023-03-06 20:23:42,Can I reschedule my appointment?,248,0
117,2023-08-29 00:39:32,Can I speak to a manager?,492,1
118,2023-11-03 18:36:57,Can I speak to a manager?,292,0
119,2023-10-30 08:53:08,How do I update my email address?,480,1
120,2023-04-04 04:46:12,The app keeps crashing.,475,1
121,2023-01-31 17:55:45,I'm unable to login to my account.,470,0
122,2023-10-17 20:09:15,My device isn't charging properly.,299,0
123,2023-08-31 22:07:13,How do I set up auto-pay?,598,1
124,2023-12-15 23:03:30,I need to update my payment information.,206,0
125,2023-04-02 17:04:28,Can I reschedule my appointment?,492,1
126,2023-10-20 15:19:07,How do I set up auto-pay?,260,1
127,2023-05-11 06:49:00,I'm unable to login to my account.,165,1
128,2023-05-15 17:31:08,How do I update my email address?,55,0
129,2023-12-27 22:17:33,I need to update my payment information.,41,0
130,2023-04-23 22:34:57,I need technical support.,523,0
131,2023-08-19 05:11:17,I need help with my account balance.,424,0
132,2023-10-21 11:46:20,How do I change my shipping address?,107,0
133,2023-02-23 12:18:19,Can you explain my recent charges?,281,1
134,2023-11-17 11:37:16,How do I update my email address?,383,1
135,2023-03-31 00:50:30,My device isn't charging properly.,566,1
136,2023-11-30 21:50:53,How do I track my order?,543,0
137,2023-04-02 17:31:41,Can you help me with a refund?,106,1
138,2023-01-17 03:50:49,How do I apply a discount code?,520,1
139,2023-03-09 05:54:55,How do I track my order?,501,1
140,2023-04-16 10:44:00,What's the status of my repair?,206,1
141,2023-02-09 21:41:51,Can you explain my recent charges?,592,1
142,2023-10-11 04:26:08,My internet is not working properly.,472,1
143,2023-11-23 19:16:59,How do I connect to Wi-Fi?,44,0
144,2023-03-13 15:50:16,I need to report a lost card.,108,1
145,2023-04-14 07:27:28,I need assistance with a warranty claim.,339,0
146,2023-01-23 17:49:22,How do I connect to Wi-Fi?,204,1
147,2023-01-18 13:47:54,I'm having trouble with my online order.,144,1
148,2023-07-03 02:00:43,I need assistance with a warranty claim.,110,1
149,2023-02-19 12:43:30,How do I apply a discount code?,285,0
150,2023-08-27 20:38:02,I'm unable to login to my account.,61,0
151,2023-07-02 16:51:08,I need help with my account balance.,261,0
152,2023-11-19 09:15:32,I need to update my payment information.,370,1
153,2023-10-30 12:13:24,Can I get a copy of my invoice?,162,1
154,2023-06-10 22:46:10,How do I track my order?,80,0
155,2023-10-03 21:24:31,My package hasn't arrived yet.,146,1
156,2023-10-17 16:39:05,Can I get a copy of my invoice?,108,0
157,2023-09-14 13:39:20,I'm having trouble with my online order.,461,0
158,2023-08-18 04:05:47,Can I reschedule my appointment?,461,0
159,2023-04-27 16:55:08,How do I reset my password?,129,0
160,2023-05-17 10:52:00,My package hasn't arrived yet.,31,0
161,2023-04-21 00:18:43,My device isn't charging properly.,176,1
162,2023-10-10 15:24:42,I want to upgrade my plan.,592,1
163,2023-11-23 13:40:23,I need help with my insurance claim.,329,1
164,2023-08-17 23:32:13,Can you explain my recent charges?,371,1
165,2023-05-26 23:51:18,Can you explain my recent charges?,43,1
166,2023-03-24 12:50:54,My device isn't charging properly.,188,0
167,2023-04-01 13:07:34,I want to cancel my subscription.,478,1
168,2023-02-22 23:11:42,How do I apply a discount code?,287,0
169,2023-03-27 21:38:17,How do I track my order?,486,0
170,2023-04-10 10:37:59,How do I apply a discount code?,470,0
171,2023-03-22 21:25:21,I want to upgrade my plan.,198,1
172,2023-04-29 22:41:53,I'm unable to login to my account.,92,0
173,2023-10-10 14:58:01,Can I reschedule my appointment?,419,1
174,2023-12-13 06:28:23,How do I track my order?,284,0
175,2023-04-22 09:56:30,Can you explain my recent charges?,430,1
176,2023-06-30 21:16:05,I need help with my account balance.,239,0
177,2023-03-11 07:36:29,I need help with my insurance claim.,305,0
178,2023-12-13 10:59:16,The service has been down for hours.,256,1
179,2023-09-01 11:40:30,I need to report a lost card.,423,0
180,2023-08-18 09:14:28,I need to update my payment information.,46,1
181,2023-02-17 09:54:45,How do I change my shipping address?,411,1
182,2023-07-28 01:10:26,I'm unable to login to my account.,583,1
183,2023-03-20 02:36:49,I need technical support.,224,0
184,2023-05-11 06:20:43,I need to report a lost card.,176,0
185,2023-05-03 15:52:10,How do I reset my password?,524,1
186,2023-11-12 20:07:44,I need assistance with a warranty claim.,191,1
187,2023-09-20 01:45:03,I want to cancel my subscription.,191,1
188,2023-08-11 16:34:55,I need help with my insurance claim.,587,0
189,2023-05-26 23:12:38,I want to cancel my subscription.,529,1
190,2023-03-12 23:10:10,How do I track my order?,532,1
191,2023-09-27 23:08:37,I want to cancel my subscription.,564,0
192,2023-10-01 21:37:07,How do I reset my password?,132,0
193,2023-05-30 19:22:10,The service has been down for hours.,363,0
194,2023-03-16 11:15:31,How do I apply a discount code?,252,0
195,2023-04-23 06:25:27,I have a billing issue.,385,0
196,2023-09-19 03:39:06,Can I speak to a manager?,485,1
197,2023-08-17 14:39:49,I need assistance with a warranty claim.,399,0
198,2023-08-18 12:05:19,How do I track my order?,418,1
199,2023-04-11 11:40:38,I'm having trouble with my online order.,569,0
200,2023-11-09 13:32:10,How do I change my shipping address?,266,0
201,2023-07-13 15:01:26,I need help with my insurance claim.,162,0
202,2023-06-14 21:28:12,I want to upgrade my plan.,394,0
203,2023-05-12 22:25:07,The service has been down for hours.,85,1
204,2023-03-11 07:06:16,Can I reschedule my appointment?,449,1
205,2023-11-20 13:49:48,My package hasn't arrived yet.,91,1
206,2023-11-17 22:09:17,I need help with my insurance claim.,307,0
207,2023-11-02 02:42:52,I have a billing issue.,267,0
208,2023-11-24 04:53:15,I need to report a lost card.,466,1
209,2023-06-16 02:16:49,I need help with my account balance.,93,0
210,2023-05-23 00:25:40,How do I reset my password?,546,0
211,2023-11-24 16:36:25,What's the status of my repair?,497,1
212,2023-04-18 13:03:42,I want to upgrade my plan.,33,1
213,2023-05-04 10:15:45,I want to cancel my subscription.,335,0
214,2023-08-13 23:44:30,I'm having trouble with my online order.,419,0
215,2023-06-30 05:37:10,How do I update my email address?,335,1
216,2023-05-09 00:57:13,I need to report a lost card.,197,0
217,2023-07-18 16:23:29,I want to upgrade my plan.,105,0
218,2023-05-30 04:27:53,What's the status of my repair?,489,1
219,2023-11-01 04:22:24,Can I speak to a manager?,510,1
220,2023-07-17 07:48:57,My device isn't charging properly.,303,0
221,2023-03-16 02:21:47,How do I change my shipping address?,297,1
222,2023-03-08 23:05:21,The app keeps crashing.,423,0
223,2023-04-29 17:57:55,My internet is not working properly.,204,1
224,2023-08-07 05:20:46,Can you explain my recent charges?,303,1
225,2023-11-23 16:16:35,I want to upgrade my plan.,544,1
226,2023-04-06 02:21:36,I want to upgrade my plan.,470,1
227,2023-09-04 04:09:39,Can you help me with a refund?,566,1
228,2023-06-06 01:16:18,How do I set up auto-pay?,446,0
229,2023-02-03 05:30:29,I want to upgrade my plan.,540,0
230,2023-01-16 11:06:37,I want to cancel my subscription.,424,1
231,2023-03-09 17:52:11,What's the status of my repair?,458,0
232,2023-04-24 00:56:55,The app keeps crashing.,523,0
233,2023-06-14 15:34:35,My internet is not working properly.,350,1
234,2023-04-07 14:24:53,How do I update my email address?,582,0
235,2023-09-11 01:56:34,How do I change my shipping address?,121,0
236,2023-06-29 03:45:29,The app keeps crashing.,109,1
237,2023-06-22 04:20:55,How do I reset my password?,483,0
238,2023-06-26 12:17:47,I need technical support.,137,1
239,2023-05-25 23:43:55,I'm having trouble with my online order.,101,0
240,2023-10-17 13:15:12,Can I reschedule my appointment?,36,1
241,2023-06-15 06:37:29,I want to upgrade my plan.,509,1
242,2023-11-28 06:01:23,I need help with my account balance.,238,0
243,2023-01-30 18:22:35,How do I apply a discount code?,206,1
244,2023-07-01 03:00:52,How do I track my order?,512,1
245,2023-05-25 02:00:28,I want to cancel my subscription.,456,0
246,2023-05-04 16:16:51,Can you explain my recent charges?,585,0
247,2023-12-26 06:51:55,How do I reset my password?,582,1
248,2023-03-05 13:08:06,How do I reset my password?,549,0
249,2023-03-31 23:01:58,I have a billing issue.,189,1
250,2023-10-23 11:29:42,I want to cancel my subscription.,419,0
251,2023-01-04 02:44:26,How do I apply a discount code?,220,1
252,2023-11-01 16:08:51,How do I connect to Wi-Fi?,535,1
253,2023-12-24 20:13:38,What's the status of my repair?,138,0
254,2023-10-29 13:25:00,How do I reset my password?,278,0
255,2023-06-12 07:06:41,My package hasn't arrived yet.,242,1
256,2023-10-11 05:37:38,The service has been down for hours.,453,1
257,2023-02-24 17:39:20,How do I update my email address?,193,1
258,2023-06-13 16:17:26,How do I change my shipping address?,517,0
259,2023-02-12 04:45:22,How do I set up auto-pay?,467,1
260,2023-07-08 23:59:42,The product I received is defective.,318,1
261,2023-08-05 23:27:35,How do I set up auto-pay?,223,1
262,2023-07-28 17:56:30,My package hasn't arrived yet.,85,0
263,2023-09-06 01:38:56,What's the status of my repair?,429,0
264,2023-08-29 22:45:27,Can I speak to a manager?,34,0
265,2023-07-20 17:20:23,I need assistance with a warranty claim.,140,0
266,2023-05-30 20:33:34,How do I apply a discount code?,533,1
267,2023-03-02 21:04:49,The product I received is defective.,468,0
268,2023-07-06 09:03:57,How do I apply a discount code?,200,0
269,2023-04-22 21:24:13,Can I reschedule my appointment?,572,0
270,2023-03-24 16:04:08,How do I track my order?,410,1
271,2023-08-24 20:18:28,I want to cancel my subscription.,432,1
272,2023-08-10 00:11:08,I'm having trouble with my online order.,269,0
273,2023-03-24 12:14:17,What's the status of my repair?,98,1
274,2023-04-23 13:48:05,My internet is not working properly.,273,0
275,2023-03-14 00:08:28,Can you help me with a refund?,78,0
276,2023-10-17 02:46:51,I need to report a lost card.,293,0
277,2023-09-03 04:30:24,Can you help me with a refund?,240,0
278,2023-07-06 22:53:30,How do I connect to Wi-Fi?,249,1
279,2023-12-22 04:28:03,How do I track my order?,258,0
280,2023-05-06 12:15:17,The app keeps crashing.,108,1
281,2023-12-17 00:06:27,I'm unable to login to my account.,385,1
282,2023-07-11 02:09:55,Can you explain my recent charges?,595,0
283,2023-11-13 05:59:31,Can I speak to a manager?,116,0
284,2023-12-11 06:22:39,I'm having trouble with my online order.,510,1
285,2023-01-25 21:52:15,I'm unable to login to my account.,365,1
286,2023-01-31 01:09:30,Can I speak to a manager?,444,1
287,2023-09-18 20:01:47,I need help with my account balance.,469,0
288,2023-07-09 19:26:07,How do I update my email address?,166,0
289,2023-05-23 11:21:06,I need to update my payment information.,557,0
290,2023-01-19 04:00:44,I'm having trouble with my online order.,237,0
291,2023-05-02 18:43:47,How do I set up auto-pay?,273,1
292,2023-08-11 12:30:41,My device isn't charging properly.,514,1
293,2023-05-12 03:48:48,The product I received is defective.,374,0
294,2023-09-22 05:04:56,I need help with my account balance.,137,0
295,2023-12-11 03:25:12,I have a billing issue.,185,1
296,2023-07-12 09:10:04,How do I change my shipping address?,544,0
297,2023-06-10 05:07:13,Can I reschedule my appointment?,325,1
298,2023-12-09 01:52:00,How do I change my shipping address?,139,1
299,2023-09-17 14:09:29,The service has been down for hours.,141,1
300,2023-05-30 17:20:46,I need to update my payment information.,368,0
301,2023-03-25 07:20:31,The service has been down for hours.,46,1
302,2023-03-04 18:14:33,I need to report a lost card.,202,1
303,2023-02-28 03:09:29,How do I change my shipping address?,427,0
304,2023-11-27 15:27:32,My device isn't charging properly.,466,1
305,2023-09-23 16:55:46,The app keeps crashing.,123,0
306,2023-03-27 05:40:21,I need help with my insurance claim.,132,1
307,2023-12-12 07:45:25,The service has been down for hours.,30,0
308,2023-01-06 17:07:36,Can I speak to a manager?,35,0
309,2023-10-23 10:43:23,Can I get a copy of my invoice?,243,1
310,2023-06-29 03:56:43,My device isn't charging properly.,430,1
311,2023-11-24 03:24:07,How do I change my shipping address?,468,0
312,2023-12-29 06:23:10,What's the status of my repair?,401,0
313,2023-03-07 20:32:43,How do I connect to Wi-Fi?,468,1
314,2023-11-07 16:43:13,How do I update my email address?,205,1
315,2023-02-04 14:13:11,The service has been down for hours.,77,0
316,2023-09-29 05:24:42,I need assistance with a warranty claim.,90,1
317,2023-06-25 05:02:02,How do I reset my password?,344,0
318,2023-04-06 22:53:31,How do I update my email address?,545,0
319,2023-01-16 14:27:25,How do I set up auto-pay?,249,0
320,2023-05-09 16:51:54,The service has been down for hours.,81,1
321,2023-04-02 13:49:08,I'm having trouble with my online order.,568,1
322,2023-01-01 23:05:53,I want to cancel my subscription.,391,1
323,2023-02-06 19:48:41,I need to update my payment information.,216,1
324,2023-03-07 20:55:28,I need help with my insurance claim.,527,0
325,2023-05-22 03:29:59,The service has been down for hours.,486,1
326,2023-07-19 20:29:51,I need help with my insurance claim.,481,0
327,2023-02-16 06:37:44,Can you explain my recent charges?,500,1
328,2023-01-29 02:44:13,The product I received is defective.,527,0
329,2023-12-21 01:26:17,I need technical support.,555,0
330,2023-11-16 14:31:45,The product I received is defective.,93,0
331,2023-08-20 03:10:58,Can I reschedule my appointment?,566,0
332,2023-03-06 02:18:14,How do I change my shipping address?,566,0
333,2023-07-16 17:50:08,I need technical support.,525,1
334,2023-10-22 14:10:16,I want to upgrade my plan.,545,0
335,2023-04-09 21:29:54,The service has been down for hours.,578,0
336,2023-03-05 17:21:42,I need assistance with a warranty claim.,574,0
337,2023-08-02 12:18:03,I need assistance with a warranty claim.,83,1
338,2023-10-24 02:48:55,I have a billing issue.,102,0
339,2023-01-21 16:58:00,I need help with my account balance.,555,0
340,2023-04-22 20:59:17,I need help with my insurance claim.,536,1
341,2023-07-27 10:42:21,I need to update my payment information.,102,0
342,2023-01-30 18:11:50,Can you explain my recent charges?,403,1
343,2023-03-12 03:50:36,I need help with my account balance.,255,0
344,2023-12-20 16:49:49,I need to report a lost card.,214,1
345,2023-02-03 11:57:53,I want to upgrade my plan.,359,1
346,2023-04-29 23:30:31,The product I received is defective.,556,1
347,2023-08-14 18:44:38,I need technical support.,527,1
348,2023-10-25 15:57:06,The service has been down for hours.,236,1
349,2023-01-26 13:04:52,How do I reset my password?,451,1
350,2023-06-15 06:18:17,How do I apply a discount code?,548,1
351,2023-11-02 08:33:35,My internet is not working properly.,595,1
352,2023-04-20 23:28:17,My device isn't charging properly.,378,0
353,2023-08-11 21:21:00,Can I speak to a manager?,193,0
354,2023-06-18 05:51:44,How do I connect to Wi-Fi?,449,0
355,2023-06-14 16:34:11,How do I update my email address?,573,0
356,2023-02-23 00:02:42,My package hasn't arrived yet.,378,1
357,2023-03-20 13:07:01,Can you help me with a refund?,184,1
358,2023-05-15 14:45:44,How do I connect to Wi-Fi?,178,0
359,2023-06-29 01:50:25,I'm having trouble with my online order.,211,0
360,2023-08-07 19:16:40,I need to update my payment information.,492,0
361,2023-09-17 23:18:09,I need help with my account balance.,255,0
362,2023-04-23 17:02:49,I'm having trouble with my online order.,195,1
363,2023-07-21 12:11:47,My internet is not working properly.,433,0
364,2023-12-18 18:08:26,How do I update my email address?,282,0
365,2023-06-03 08:11:30,Can you explain my recent charges?,32,1
366,2023-06-14 11:53:35,Can you help me with a refund?,456,0
367,2023-12-14 20:39:10,How do I track my order?,314,0
368,2023-05-20 12:13:12,Can you help me with a refund?,162,1
369,2023-03-21 23:52:10,I need to update my payment information.,328,0
370,2023-06-15 21:35:17,My device isn't charging properly.,37,0
371,2023-07-06 04:28:35,How do I apply a discount code?,489,1
372,2023-09-26 08:45:41,I need technical support.,594,0
373,2023-06-20 11:27:08,My device isn't charging properly.,145,0
374,2023-05-30 20:41:30,I need help with my account balance.,201,1
375,2023-08-10 09:30:21,The service has been down for hours.,591,1
376,2023-02-16 21:12:36,My device isn't charging properly.,520,1
377,2023-11-03 21:01:03,The product I received is defective.,543,1
378,2023-04-09 00:47:18,The product I received is defective.,38,1
379,2023-08-02 02:51:57,My package hasn't arrived yet.,68,1
380,2023-06-24 01:38:16,The product I received is defective.,176,0
381,2023-05-08 07:00:24,How do I change my shipping address?,158,0
382,2023-09-27 03:21:27,My internet is not working properly.,209,1
383,2023-04-14 01:55:02,Can you help me with a refund?,573,0
384,2023-01-19 00:55:57,My internet is not working properly.,40,0
385,2023-07-16 16:22:08,How do I set up auto-pay?,598,0
386,2023-11-24 07:05:33,How do I change my shipping address?,529,0
387,2023-04-22 12:05:46,I want to cancel my subscription.,142,0
388,2023-02-13 21:14:23,How do I reset my password?,420,0
389,2023-06-29 00:40:23,My package hasn't arrived yet.,352,1
390,2023-07-15 09:20:09,I need help with my account balance.,498,0
391,2023-02-16 14:53:50,I need help with my account balance.,205,1
392,2023-10-03 02:52:55,The service has been down for hours.,184,1
393,2023-09-19 22:16:48,Can you help me with a refund?,465,0
394,2023-08-10 03:42:54,How do I update my email address?,353,0
395,2023-10-04 07:10:32,I'm unable to login to my account.,80,0
396,2023-12-07 16:23:39,My device isn't charging properly.,125,1
397,2023-04-10 03:32:33,The product I received is defective.,546,0
398,2023-03-21 05:51:20,How do I update my email address?,456,0
399,2023-06-06 15:28:28,How do I connect to Wi-Fi?,577,0
400,2023-11-15 10:56:18,Can you explain my recent charges?,564,0
401,2023-05-09 23:01:42,Can you help me with a refund?,178,1
402,2023-08-23 02:11:31,The app keeps crashing.,89,1
403,2023-07-01 00:09:37,I need help with my insurance claim.,247,1
404,2023-03-24 22:52:00,I want to upgrade my plan.,326,0
405,2023-10-16 03:08:32,I need help with my account balance.,491,0
406,2023-11-18 10:06:27,How do I reset my password?,300,1
407,2023-11-06 22:20:16,My internet is not working properly.,346,1
408,2023-04-29 07:52:26,Can I speak to a manager?,494,1
409,2023-09-19 12:47:24,I need to update my payment information.,481,0
410,2023-05-07 22:17:08,Can I speak to a manager?,584,0
411,2023-04-13 22:03:42,How do I update my email address?,156,1
412,2023-03-20 15:43:41,Can you explain my recent charges?,588,1
413,2023-11-27 15:20:31,I need to update my payment information.,238,1
414,2023-05-12 05:47:14,I have a billing issue.,182,1
415,2023-07-16 09:13:06,What's the status of my repair?,352,0
416,2023-12-07 01:15:24,The service has been down for hours.,340,0
417,2023-08-30 13:39:36,My internet is not working properly.,450,1
418,2023-06-08 04:25:16,I need help with my account balance.,463,0
419,2023-07-10 19:16:21,I need help with my account balance.,193,1
420,2023-05-14 15:56:13,How do I set up auto-pay?,350,0
421,2023-11-01 08:41:46,How do I apply a discount code?,54,0
422,2023-02-21 02:01:57,My device isn't charging properly.,104,0
423,2023-01-07 16:04:03,The app keeps crashing.,557,0
424,2023-12-02 19:48:36,Can I speak to a manager?,94,0
425,2023-05-12 19:00:37,The app keeps crashing.,532,1
426,2023-12-03 13:29:32,Can I reschedule my appointment?,491,0
427,2023-05-24 15:16:51,I'm having trouble with my online order.,134,1
428,2023-05-30 19:51:45,I want to cancel my subscription.,81,0
429,2023-09-09 21:23:14,My package hasn't arrived yet.,235,0
430,2023-12-13 03:04:30,The product I received is defective.,131,1
431,2023-01-06 22:14:03,I need help with my insurance claim.,398,1
432,2023-04-15 20:52:43,I need to report a lost card.,163,0
433,2023-07-15 09:40:54,How do I apply a discount code?,478,0
434,2023-08-02 22:22:20,How do I update my email address?,368,0
435,2023-10-11 05:28:36,Can you explain my recent charges?,435,0
436,2023-03-24 00:12:11,What's the status of my repair?,55,1
437,2023-11-15 18:50:13,Can I speak to a manager?,289,0
438,2023-04-09 04:17:35,Can I get a copy of my invoice?,70,0
439,2023-05-17 01:25:52,The service has been down for hours.,586,1
440,2023-03-15 01:02:37,How do I update my email address?,292,1
441,2023-01-31 02:40:33,I'm unable to login to my account.,495,1
442,2023-11-02 18:35:14,Can I speak to a manager?,210,1
443,2023-03-04 04:21:58,How do I apply a discount code?,439,1
444,2023-01-13 20:43:55,How do I set up auto-pay?,485,0
445,2023-11-14 12:50:44,Can you explain my recent charges?,555,1
446,2023-05-27 06:01:26,My device isn't charging properly.,272,1
447,2023-05-26 11:37:11,Can I reschedule my appointment?,340,0
448,2023-06-10 14:38:13,How do I reset my password?,570,0
449,2023-10-19 02:49:02,The service has been down for hours.,559,1
450,2023-05-03 10:42:18,Can I reschedule my appointment?,171,0
451,2023-04-15 00:50:44,I need technical support.,344,0
452,2023-12-08 23:30:15,How do I connect to Wi-Fi?,57,0
453,2023-01-04 20:39:58,Can I speak to a manager?,410,0
454,2023-07-17 09:31:58,I want to upgrade my plan.,299,0
455,2023-11-26 01:04:17,My package hasn't arrived yet.,586,0
456,2023-06-25 22:28:11,Can I get a copy of my invoice?,162,1
457,2023-10-10 03:40:43,I'm having trouble with my online order.,75,0
458,2023-06-12 07:58:55,Can I get a copy of my invoice?,150,0
459,2023-06-06 01:49:54,My device isn't charging properly.,289,1
460,2023-11-16 22:48:55,Can I speak to a manager?,522,0
461,2023-10-21 00:43:48,I have a billing issue.,343,0
462,2023-03-08 14:11:42,I need technical support.,433,0
463,2023-08-27 08:42:32,My package hasn't arrived yet.,114,0
464,2023-08-18 19:40:56,I need help with my insurance claim.,136,0
465,2023-02-19 09:41:02,I'm having trouble with my online order.,445,0
466,2023-06-29 10:45:16,Can you explain my recent charges?,349,1
467,2023-03-16 20:46:55,How do I track my order?,512,1
